id,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5,x_6,y_6,x_7,y_7,x_8,y_8,x_9,y_9,x_10,y_10,x_11,y_11,x_12,y_12,x_13,y_13,x_14,y_14,x_15,y_15,x_16,y_16,x_17,y_17,x_18,y_18,x_19,y_19,x_20,y_20,x_21,y_21,x_22,y_22,x_23,y_23,x_24,y_24,x_25,y_25,x_26,y_26,x_27,y_27,x_28,y_28,x_29,y_29,x_30,y_30,x_31,y_31,x_32,y_32,x_33,y_33,x_34,y_34,x_35,y_35,x_36,y_36,x_37,y_37,x_38,y_38,x_39,y_39,x_40,y_40,x_41,y_41,x_42,y_42,x_43,y_43,x_44,y_44,x_45,y_45,x_46,y_46,x_47,y_47,x_48,y_48,x_49,y_49,x_50,y_50,x_51,y_51,x_52,y_52,x_53,y_53,x_54,y_54,x_55,y_55,x_56,y_56,x_57,y_57,x_58,y_58,x_59,y_59,x_60,y_60
0,-0.007137262,0.0031459662,-0.012379933,-0.0110333385,0.010654967,-0.013028132,0.027112674,-0.028864997,0.06663014,-0.018136935,0.072313204,0.015141881,0.1081599,-0.0044828057,0.15312532,0.011560399,0.16416913,-0.01312301,0.2642911,0.004919634,0.35393465,0.014678912,0.39071202,-0.0010367716,0.45634615,0.0011070175,0.5718757,0.028155971,0.65199554,0.016601227,0.80897665,-0.010400272,0.9129074,0.006989224,1.0255305,-0.0011695134,1.186705,0.008684547,1.3279257,0.013495343,1.4691234,0.013615804,1.6681337,-0.0021032393,1.8708975,0.013712718,2.0659566,0.027415609,2.2620914,-0.013327962,2.4585319,0.0012730006,2.7153878,0.04607792,2.9658258,-0.023305623,3.1780612,-0.009571305,3.4101357,-0.021114668,3.7193966,-0.010695741,3.9755232,-0.011761714,4.325959,-0.019809429,4.613962,-0.01588828,4.9492116,-0.064558335,5.299287,-0.008305803,5.6639986,-0.04110285,5.977404,-0.00986499,6.3406568,-0.035516165,6.794249,-0.060935073,7.210072,-0.017241163,7.5942574,-0.048081964,8.033797,-0.018434035,8.432092,-0.021403162,8.859954,-0.08446702,9.419359,-0.06765201,9.826507,-0.075269006,10.332199,-0.100419685,10.833651,-0.07785695,11.289202,-0.072260156,11.853756,-0.12449512,12.330755,-0.09142044,12.921911,-0.11430023,13.441076,-0.10912292,13.989691,-0.13635977,14.496254,-0.109355524,15.169675,-0.13430433,15.671518,-0.1519456,16.265585,-0.1548289,16.836985,-0.17905271
1,0.20272243,0.029798742,0.5158096,0.10062974,0.70889765,0.13698596,0.9533084,0.16820645,1.2702996,0.19760793,1.5049994,0.26549837,1.7561984,0.29970935,1.9801311,0.36139467,2.254171,0.5554794,2.5424018,0.622841,2.7673862,0.8003247,2.9972625,0.8865476,3.269611,1.0345289,3.5189245,1.1663227,3.7793274,1.3011569,3.96373,1.4709208,4.1605325,1.71783,4.4942365,1.8471785,4.682638,2.0698183,4.9656196,2.2133687,5.121703,2.4258056,5.4581423,2.7558413,5.529344,2.9555387,5.763865,3.2099075,5.977377,3.449508,6.0957966,3.6471872,6.239446,3.962416,6.578495,4.1518526,6.690908,4.3746314,6.7192364,4.728185,6.9767404,4.9781575,7.0775805,5.18871,7.2075253,5.545756,7.436686,5.8553405,7.504474,6.060957,7.6149096,6.3088374,7.5779138,6.629679,7.7419057,6.8814726,7.857805,7.1974397,7.9693246,7.4089785,7.9017553,7.770983,8.091605,8.134758,8.053678,8.386695,8.188487,8.654502,8.259795,9.043295,8.37928,9.195973,8.465648,9.60304,8.447393,9.855677,8.4980345,10.127786,8.557874,10.531051,8.567508,10.756293,8.649984,10.986323,8.696748,11.430674,8.676116,11.684505,8.802537,11.854499,8.722171,12.222263,8.895283,12.453796,8.856587,12.814358,8.838912,13.2095375,8.862049,13.356115
2,0.88204044,0.022108655,1.7371987,0.0013158927,2.5367486,0.011006204,3.4421194,0.046603255,4.3046,0.040736794,5.1604614,0.046769656,6.010638,0.0815025,6.851321,0.081206895,7.7197657,0.11175976,8.552378,0.09600763,9.379357,0.12485166,10.218236,0.14996132,11.049283,0.1641399,11.843916,0.20157453,12.704394,0.18280166,13.464187,0.18977302,14.283506,0.21743257,15.046133,0.23916127,15.932393,0.22345239,16.65207,0.22834802,17.437887,0.2638301,18.267412,0.24489993,18.976646,0.29396275,19.776072,0.26153797,20.52018,0.24816085,21.280594,0.26115435,22.076723,0.25425494,22.79717,0.24036953,23.54841,0.24942379,24.266335,0.23284063,24.996778,0.23976819,25.745546,0.24125662,26.456371,0.22871582,27.136019,0.16864091,27.87938,0.16882916,28.523584,0.14059654,29.240137,0.18673168,29.951187,0.12576467,30.58513,0.14826673,31.257479,0.12922499,31.913218,0.061278723,32.572655,0.1074539,33.19379,0.08423813,33.871834,0.064035565,34.451904,0.042951472,35.073658,0.028162468,35.71474,0.0023272838,36.319523,-0.02243486,36.907402,-0.016628003,37.566402,-0.03708794,38.141567,-0.061747495,38.728485,-0.08978683,39.2859,-0.1096276,39.886642,-0.10088587,40.38445,-0.17965242,41.003643,-0.19686376,41.558105,-0.23767735,42.12387,-0.24059454,42.63813,-0.290065,43.17931,-0.25942272
3,0.36713386,-0.008047964,0.74076194,-0.0057694307,1.1016362,-0.0033683497,1.507052,0.0063794046,1.8833566,-0.00426236,2.2802656,0.010877705,2.6610658,0.009700328,3.022558,0.003326334,3.4612527,-0.014418338,3.8666434,0.0030648587,4.2496977,-0.006204529,4.648571,-0.019245649,5.0997486,-0.0009943591,5.4993834,-0.0035172368,5.880313,0.006780095,6.3117013,-0.022552516,6.7486243,-0.011171589,7.17513,-0.007520597,7.5824666,-0.03322044,8.008644,-0.001974998,8.430992,-0.007365456,8.841691,-0.005640328,9.2965,-0.03912568,9.680824,-0.049760114,10.117484,-0.03893374,10.540057,-0.03138829,10.986812,-0.0625673,11.475725,-0.05679515,11.877576,-0.06596365,12.279217,-0.040769488,12.762824,-0.084341496,13.150223,-0.07245138,13.641616,-0.06174572,14.077975,-0.11561344,14.503697,-0.1400757,14.996676,-0.06602765,15.407543,-0.13791396,15.886719,-0.109140985,16.352715,-0.11518639,16.76513,-0.14944896,17.247215,-0.16922683,17.717865,-0.16989559,18.126295,-0.1087693,18.600063,-0.15826097,19.010168,-0.1585874,19.548698,-0.15118484,20.050674,-0.16740678,20.42373,-0.1676416,20.899729,-0.20596519,21.33186,-0.19102687,21.791649,-0.21361494,22.295923,-0.24296741,22.74729,-0.16920242,23.268818,-0.17432597,23.673016,-0.26210737,24.166904,-0.24222763,24.617485,-0.19097827,25.09051,-0.24759842,25.508717,-0.21798258,26.012028,-0.19000746
4,0.6350656,-0.0026237038,1.2734096,-0.0051148525,1.9524698,-0.0035963375,2.562111,0.012719328,3.1811912,-0.0057413,3.8397686,-0.00808213,4.4677086,-0.007581115,5.094229,0.008167006,5.70912,0.007525782,6.3375883,0.027638067,6.959229,-0.020144893,7.5991917,0.01910331,8.1924305,0.0017167581,8.812972,-0.010740962,9.36951,0.0035107206,10.011033,-0.0041872375,10.642731,0.024023881,11.2323,0.00358953,11.833431,-0.0057570627,12.440364,0.017906444,13.0497,0.016855458,13.637953,-0.009036243,14.258104,-0.003508062,14.863572,-0.02359409,15.4012575,-0.026619775,16.002197,-0.0063958075,16.60353,-0.023486193,17.192446,-0.02857825,17.785112,-0.033247072,18.34823,-0.027504785,18.961475,-0.045644984,19.49613,-0.04157314,20.108301,-0.038806405,20.683071,-0.07830725,21.262953,-0.08915528,21.871162,-0.04601846,22.437235,-0.068598814,23.04276,-0.046670295,23.608597,-0.08079589,24.17614,-0.07642367,24.774586,-0.09674982,25.359413,-0.05908054,25.896046,-0.09980728,26.522638,-0.10679659,27.037077,-0.07253369,27.64674,-0.10089863,28.257076,-0.080330886,28.769897,-0.10004622,29.39348,-0.13671082,29.903156,-0.11922883,30.495335,-0.10201901,31.056545,-0.14421274,31.677948,-0.09305917,32.24013,-0.06050605,32.766052,-0.14465871,33.364315,-0.16496651,33.953674,-0.12292166,34.51615,-0.1861045,35.041843,-0.13909182,35.564163,-0.12311788
5,-0.030972324,0.011377618,0.005700376,-0.00813635,-0.008063424,0.0075098407,0.024862183,-0.0151071865,0.087613285,0.022035046,0.17065516,0.009255617,0.20756502,0.00022034347,0.2675978,-0.0012610182,0.32880005,0.019915637,0.46082157,0.024005223,0.5457722,0.057321027,0.7039478,0.047844186,0.8489383,0.0323555,0.93962055,0.059408817,1.0951366,0.035264112,1.3231722,0.058177818,1.5284272,0.0016268399,1.6997497,0.06939646,2.0114503,0.04997535,2.1687064,0.03628008,2.4357998,0.0876303,2.7437081,0.06291589,2.9747217,0.06555937,3.3047438,0.03058069,3.5628252,0.08295184,3.8861914,0.012948917,4.259148,0.07040437,4.4934325,0.09855382,4.926198,0.07290303,5.3020353,0.11305465,5.698118,0.058957167,5.9500427,0.086634114,6.3774824,0.058560133,6.8447266,0.11791272,7.1791134,0.07506872,7.613799,0.11084031,8.058413,0.08352053,8.544541,0.10367394,8.964931,0.06106048,9.392739,0.07418455,9.940059,0.0930176,10.311842,0.06448954,10.807685,0.09604009,11.262412,0.11571732,11.754842,0.1247968,12.311541,0.10824185,12.787327,0.13327606,13.222295,0.119291976,13.735637,0.19494122,14.297848,0.11085013,14.795959,0.16231184,15.312594,0.12440945,15.91012,0.15554276,16.408247,0.11014575,16.930153,0.124331355,17.387777,0.12888654,17.904745,0.10178472,18.456982,0.14912918,19.024925,0.11032787,19.610506,0.18273015
6,0.6377736,-0.002854806,1.3226565,-0.0056547513,1.9495618,0.0011754315,2.5719593,-0.023972189,3.2013757,0.013228236,3.8244002,0.025628857,4.478892,-0.018297672,5.075602,-0.020385824,5.665668,-0.03214084,6.2633214,-0.036715996,6.898014,-0.015047116,7.4618793,-0.02814568,8.101412,-0.04551706,8.699642,-0.009789851,9.266233,-0.032119267,9.901368,-0.07478134,10.470727,-0.050155587,11.039168,-0.07149879,11.657619,-0.09697169,12.220325,-0.070440896,12.853891,-0.0878826,13.455425,-0.091722906,14.051603,-0.09851304,14.645236,-0.07872129,15.20552,-0.0690134,15.7224865,-0.12168214,16.35006,-0.10423278,16.965517,-0.15352288,17.525995,-0.1646594,18.131807,-0.13118045,18.715328,-0.18343888,19.25855,-0.19064292,19.899986,-0.18710898,20.464851,-0.18842295,21.03123,-0.2035426,21.644936,-0.1900123,22.179827,-0.20847245,22.759794,-0.21798538,23.40247,-0.2367549,23.904524,-0.23751396,24.61397,-0.2772431,25.162283,-0.26240274,25.719465,-0.28189182,26.314499,-0.2655333,26.919035,-0.30976105,27.476469,-0.33987808,28.13298,-0.35415325,28.694431,-0.37942818,29.31609,-0.38280568,29.85589,-0.38852754,30.475069,-0.43272623,31.048061,-0.46818584,31.66631,-0.45227328,32.315556,-0.49988785,32.8353,-0.5638817,33.44884,-0.5590662,34.061073,-0.5180076,34.67136,-0.6230088,35.287865,-0.70281976,35.89191,-0.71694285
7,0.41919234,0.04057583,0.7374927,0.14331247,1.230715,0.17401955,1.6424379,0.29319853,2.096249,0.3888719,2.4760413,0.44993323,2.8577259,0.52918756,3.2635963,0.72847676,3.6605132,0.88919115,4.0841026,1.0267588,4.456479,1.2285713,4.8734837,1.322645,5.2757187,1.5382577,5.7589216,1.7002122,5.992608,1.9395453,6.5042753,2.1032102,6.9618163,2.3727884,7.3499246,2.5025074,7.6965218,2.8288314,8.123517,3.0053937,8.454018,3.1740708,8.848242,3.4084697,9.225755,3.6511278,9.506911,3.9100554,9.927133,4.171859,10.348479,4.415633,10.701794,4.695175,10.903896,5.030037,11.42501,5.161663,11.6989,5.4493613,12.072335,5.6742244,12.382032,6.12556,12.726845,6.2301474,13.123354,6.5620294,13.423804,6.8771167,13.817155,7.1816053,14.086614,7.425472,14.377147,7.803864,14.653799,7.9928503,15.024402,8.308035,15.407051,8.6218,15.65012,8.870072,16.035175,9.24117,16.44052,9.527708,16.672436,9.69682,16.99518,10.154425,17.2955,10.44272,17.48502,10.725454,17.86051,10.995927,18.052248,11.383197,18.488459,11.525207,18.765884,11.972104,19.075022,12.294941,19.558956,12.470298,19.66065,12.958972,19.981932,13.216466,20.378933,13.467695,20.612162,13.69997,20.890154,14.195274,21.207607,14.4702
8,0.7708147,-0.0025570882,1.5352606,0.024820268,2.3190556,0.02255818,3.1018379,0.042724036,3.8632457,0.04857284,4.6584134,0.068451904,5.4439497,0.07543123,6.2347465,0.09771428,7.048647,0.09529898,7.844177,0.15002327,8.637614,0.13812871,9.418,0.15876858,10.207788,0.21111324,11.018639,0.21259785,11.787728,0.25444353,12.610053,0.27303156,13.433714,0.2938567,14.219175,0.33171466,15.01162,0.318335,15.812676,0.38193873,16.621958,0.38448924,17.439087,0.3955089,18.256346,0.43639424,19.057209,0.41953605,19.873814,0.4590235,20.660074,0.49341914,21.48349,0.49768004,22.268219,0.5293763,23.103685,0.5381312,23.89383,0.5707476,24.701483,0.55435205,25.509073,0.5918225,26.328156,0.61919725,27.160578,0.6272392,27.972223,0.62230074,28.759888,0.6806428,29.60443,0.64591026,30.433453,0.7008016,31.243082,0.7021495,32.070225,0.7184372,32.871445,0.7159902,33.678078,0.73317254,34.50253,0.74755096,35.332474,0.76024026,36.114136,0.754321,36.955605,0.7935425,37.79282,0.8220063,38.575726,0.79700387,39.38187,0.80215377,40.20823,0.83279735,41.029312,0.81637263,41.865562,0.83937407,42.63073,0.8341166,43.455673,0.8892273,44.29616,0.8424334,45.154613,0.8674744,45.91479,0.84931123,46.75939,0.85355496,47.56662,0.9151632,48.373314,0.9147297
9,0.051989026,-0.020832807,0.2014775,-0.041604757,0.21183185,0.03646812,0.40808797,-0.0031113238,0.58137846,-0.015232386,0.7423975,-0.07462778,0.9326642,-0.024202943,1.111887,-0.092365116,1.2821757,-0.039532054,1.4324857,-0.07285647,1.6830102,-0.15499775,1.9574207,-0.09912827,2.2067094,-0.169004,2.3825042,-0.19075969,2.6321316,-0.3013904,2.7897308,-0.3204888,3.123963,-0.4206204,3.31915,-0.4743128,3.608555,-0.52238303,3.8573234,-0.67016983,4.06309,-0.7503403,4.349842,-0.7772029,4.6047363,-1.0017179,4.9755187,-1.0632075,5.133987,-1.2971494,5.4624596,-1.280963,5.791321,-1.3965086,6.001798,-1.8612549,6.2199917,-2.0567293,6.556439,-2.2318187,6.7327976,-2.3533201,7.0277386,-2.470807,7.4173045,-2.7994883,7.5880165,-3.291,7.7796655,-3.4658775,8.005419,-3.814213,8.3558,-4.117417,8.583395,-4.3127794,8.765091,-4.62835,9.079714,-5.0752864,9.21623,-5.528897,9.483746,-5.7906027,9.688905,-6.0646486,9.976207,-6.6281376,10.146418,-6.995009,10.327865,-7.4564667,10.565758,-7.984649,10.7614,-8.44751,10.958178,-8.800432,11.131973,-9.169421,11.301836,-9.751217,11.514412,-10.331451,11.731861,-10.860526,11.914944,-11.147059,12.036257,-11.820944,12.374418,-12.321091,12.454911,-12.881919,12.676377,-13.496098,12.84498,-13.896876,13.027937,-14.461153
